INFO 2025-12-19 15:20:29 rc/train.py:277 Creating optimizer and scheduler
INFO 2025-12-19 15:20:29 rc/train.py:319 cfg.steps=100000 (100K)
INFO 2025-12-19 15:20:29 rc/train.py:320 dataset.num_frames=29274 (29K)
INFO 2025-12-19 15:20:29 rc/train.py:321 dataset.num_episodes=19
INFO 2025-12-19 15:20:29 rc/train.py:324 Effective batch size: 8 x 1 = 8
INFO 2025-12-19 15:20:29 rc/train.py:325 num_learnable_params=99880992 (100M)
INFO 2025-12-19 15:20:29 rc/train.py:326 num_total_params=450046176 (450M)
INFO 2025-12-19 15:33:59 rc/train.py:413 step:6K smpl:51K ep:33 epch:1.75 loss:0.048 grdn:0.613 lr:9.0e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:34:24 rc/train.py:413 step:7K smpl:53K ep:34 epch:1.80 loss:0.047 grdn:0.601 lr:8.9e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:34:50 rc/train.py:413 step:7K smpl:54K ep:35 epch:1.86 loss:0.048 grdn:0.585 lr:8.8e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:35:15 rc/train.py:413 step:7K smpl:56K ep:36 epch:1.91 loss:0.045 grdn:0.574 lr:8.8e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:35:40 rc/train.py:413 step:7K smpl:58K ep:37 epch:1.97 loss:0.045 grdn:0.563 lr:8.7e-05 updt_s:0.121 data_s:0.004
INFO 2025-12-19 15:36:06 rc/train.py:413 step:7K smpl:59K ep:38 epch:2.02 loss:0.044 grdn:0.547 lr:8.6e-05 updt_s:0.121 data_s:0.006
INFO 2025-12-19 15:36:31 rc/train.py:413 step:8K smpl:61K ep:39 epch:2.08 loss:0.043 grdn:0.552 lr:8.6e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:36:57 rc/train.py:413 step:8K smpl:62K ep:41 epch:2.13 loss:0.041 grdn:0.539 lr:8.5e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:37:22 rc/train.py:413 step:8K smpl:64K ep:42 epch:2.19 loss:0.044 grdn:0.572 lr:8.4e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:37:47 rc/train.py:413 step:8K smpl:66K ep:43 epch:2.24 loss:0.039 grdn:0.522 lr:8.3e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:38:13 rc/train.py:413 step:8K smpl:67K ep:44 epch:2.30 loss:0.043 grdn:0.544 lr:8.3e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:38:38 rc/train.py:413 step:9K smpl:69K ep:45 epch:2.35 loss:0.044 grdn:0.553 lr:8.2e-05 updt_s:0.123 data_s:0.004
INFO 2025-12-19 15:39:04 rc/train.py:413 step:9K smpl:70K ep:46 epch:2.40 loss:0.042 grdn:0.543 lr:8.1e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:39:29 rc/train.py:413 step:9K smpl:72K ep:47 epch:2.46 loss:0.038 grdn:0.502 lr:8.0e-05 updt_s:0.123 data_s:0.004
INFO 2025-12-19 15:39:54 rc/train.py:413 step:9K smpl:74K ep:48 epch:2.51 loss:0.039 grdn:0.495 lr:7.9e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:40:20 rc/train.py:413 step:9K smpl:75K ep:49 epch:2.57 loss:0.039 grdn:0.509 lr:7.9e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:40:45 rc/train.py:413 step:10K smpl:77K ep:50 epch:2.62 loss:0.037 grdn:0.491 lr:7.8e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:41:10 rc/train.py:413 step:10K smpl:78K ep:51 epch:2.68 loss:0.041 grdn:0.527 lr:7.7e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:41:36 rc/train.py:413 step:10K smpl:80K ep:52 epch:2.73 loss:0.040 grdn:0.514 lr:7.6e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:42:01 rc/train.py:413 step:10K smpl:82K ep:53 epch:2.79 loss:0.037 grdn:0.494 lr:7.5e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:42:26 rc/train.py:413 step:10K smpl:83K ep:54 epch:2.84 loss:0.035 grdn:0.480 lr:7.4e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:42:52 rc/train.py:413 step:11K smpl:85K ep:55 epch:2.90 loss:0.037 grdn:0.482 lr:7.3e-05 updt_s:0.121 data_s:0.003
INFO 2025-12-19 15:43:17 rc/train.py:413 step:11K smpl:86K ep:56 epch:2.95 loss:0.037 grdn:0.510 lr:7.2e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:43:43 rc/train.py:413 step:11K smpl:88K ep:57 epch:3.01 loss:0.034 grdn:0.478 lr:7.2e-05 updt_s:0.120 data_s:0.006
